13.10.2011	14:15	starting grid															
3215682304																	
time	x	theta	radius	set angle	yaw angle	pitch angle	Ptot	Pstat	Ma	Patm	yaw out of range	pitch out of range	P1	P2	P3	P4	P5
3215683594	0	6	63	0	-4.855383	-1.113811	96178.13857	95769.96711	0.07797	96010.70762	0	0	96191.41211	96034.99661	95943.33768	95902.10711	95979.15262
3215683605	0	6	68.5	0	-7.486629	-0.510459	96207.60091	95750.86005	0.082479	96010.12111	0	0	96219.13036	96074.79533	95905.69764	95886.90678	95991.23965
3215683616	0	6	74	0	-7.634851	-3.766786	96161.59074	95752.03775	0.078109	96010.69252	0	0	96173.08289	96031.10254	95874.68763	95929.75482	95948.23311
3215683627	0	6	79.5	0	-9.372733	-0.382478	96158.46426	95775.69412	0.075506	96010.64821	0	0	96165.19729	96061.77191	95879.62508	95886.71356	95978.20888
3215683638	0	6	85	0	-8.481545	-0.577005	96180.94534	95748.61037	0.08025	96011.76262	0	0	96190.34727	96050.74763	95866.5368	95890.96392	95988.83162
3215683649	0	6	90.5	0	-10.231403	0.00143	96141.67034	95783.3894	0.073051	96009.46029	0	0	96146.16315	96046.09241	95858.55673	95892.87077	95986.92179
3215683660	0	6	96	0	-7.371976	-0.457555	96150.95629	95733.27704	0.078887	96009.84812	0	0	96161.6236	96023.49291	95871.56336	95862.02165	95958.61455
3215683671	0	6	101.5	0	-9.221924	0.432012	96093.94492	95756.22808	0.070937	96009.16704	0	0	96099.61122	96001.99084	95844.6307	95850.4277	95947.04151
3215683682	0	6	107	0	-7.482963	0.342604	96084.355	95740.55293	0.071578	96008.53165	0	0	96092.58165	95974.42031	95847.60875	95842.7916	95938.30297
3215683693	0	6	112.5	0	-6.233547	0.147974	96031.10137	95765.32198	0.062935	96007.78182	0	0	96038.53881	95934.25979	95854.64011	95851.36607	95921.53778
3215683741	0	7	30	0	1.547466	0.96857	96042.2094	95881.22181	0.048961	96009.75553	0	0	96047.76859	95934.0922	95954.83939	95947.0882	95994.89272
3215683752	0	7	35.5	0	-4.357161	-2.424209	96142.09451	95830.3208	0.068135	96010.75292	0	0	96152.83936	96024.72127	95962.93678	95949.24599	95984.85768
3215683764	0	7	41	0	-2.579512	-0.547036	96093.66753	95828.78384	0.062808	96007.56168	0	0	96102.93627	95983.61979	95957.43914	95912.62927	95969.95741
